body,quantity,value,unit,epoch,center,frame,ephemeris,source,url,retrieved,note,sigma,record_id
Styx,state_y,-2.330964220210757e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-2.330964220210757e+04; printed_survey2=-2.330964220210757e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-62f9fec6
Styx,state_z,-2.863665901281087e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-2.863665901281087e+04; printed_survey2=-2.863665901281087e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-3c9cbb3a
Styx,state_vx,-8.482275728160305e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-8.482275728160305e-02; printed_survey2=-8.482275728160305e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-62dae247
Styx,state_vy,-6.225278235186205e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-6.225278235186205e-02; printed_survey2=-6.225278235186205e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-2fb3b4d6
Styx,state_vz,1.135815051268355e-01,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=1.135815051268355e-01; printed_survey2=1.135815051268355e-01); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-4f913150
Pluto,state_x,1.417614152852306e+03,km,JD 2457217.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=1.417614152852306e+03; printed_survey2=1.417614152852306e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-b0e22518-2
Pluto,state_y,1.427753300794762e+03,km,JD 2457217.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=1.427753300794762e+03; printed_survey2=1.427753300794762e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-0e5b240b-2
Pluto,state_z,7.046958885931829e+02,km,JD 2457217.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=7.046958885931829e+02; printed_survey2=7.046958885931829e+02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-1653efb3-2
Pluto,state_vx,7.598442180306007e-03,km/s,JD 2457217.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=7.598442180306007e-03; printed_survey2=7.598442180306007e-03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-29461322-2
Pluto,state_vy,3.684084839437238e-03,km/s,JD 2457217.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=3.684084839437238e-03; printed_survey2=3.684084839437238e-03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-30666624-2
